127.0.0.1 - - [17/May/2021:18:44:24 +0800] "GET / HTTP/1.1" 404 679
0:0:0:0:0:0:0:1 - - [17/May/2021:18:44:25 +0800] "GET /PCA/index.jsp HTTP/1.1" 200 4008
0:0:0:0:0:0:0:1 - - [17/May/2021:18:44:25 +0800] "GET /PCA/Css/Public_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2021:18:44:25 +0800] "GET /PCA/Css/Public_Color/orange.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2021:18:44:25 +0800] "GET /PCA/img/background-photo/login.png HTTP/1.1" 200 3562975
0:0:0:0:0:0:0:1 - - [17/May/2021:18:44:25 +0800] "GET /PCA/fonts/iconfont.eot?t=1508229193188 HTTP/1.1" 404 706
0:0:0:0:0:0:0:1 - - [17/May/2021:18:44:25 +0800] "GET /PCA/fonts/icomoon.eot? HTTP/1.1" 404 706
0:0:0:0:0:0:0:1 - - [17/May/2021:18:44:25 +0800] "GET /PCA/fonts/icomoon.woff?rretjt HTTP/1.1" 404 706
0:0:0:0:0:0:0:1 - - [17/May/2021:18:44:25 +0800] "GET /PCA/fonts/icomoon.ttf?rretjt HTTP/1.1" 404 706
0:0:0:0:0:0:0:1 - - [17/May/2021:18:44:29 +0800] "GET /PCA/img/pet_photo/fox.gif HTTP/1.1" 200 3475374
0:0:0:0:0:0:0:1 - - [17/May/2021:18:44:34 +0800] "GET /PCA/Css/Public_Color/orange.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2021:18:44:34 +0800] "GET /PCA/Css/Public_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2021:18:44:34 +0800] "GET /PCA/Css/Homepage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2021:18:44:34 +0800] "GET /PCA/img/dynamic_photo/dynamic_illustration/%E7%BD%91%E9%A1%B5.jpg HTTP/1.1" 200 52873
0:0:0:0:0:0:0:1 - - [17/May/2021:18:44:34 +0800] "GET /PCA/img/theme_photo/1.png HTTP/1.1" 200 166386
0:0:0:0:0:0:0:1 - - [17/May/2021:18:44:35 +0800] "GET /PCA/img/dynamic_photo/%E6%BB%91%E5%8A%A8%E7%99%BB%E5%BD%95%E6%A1%86.png HTTP/1.1" 200 189006
0:0:0:0:0:0:0:1 - - [17/May/2021:18:44:35 +0800] "GET /PCA/Css/Public_Color/orange.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2021:18:44:35 +0800] "GET /PCA/img/apartment_photo/%E5%AE%A3%E4%BC%A0%E9%83%A8.png HTTP/1.1" 200 227449
0:0:0:0:0:0:0:1 - - [17/May/2021:18:44:35 +0800] "POST /PCA/Login HTTP/1.1" 200 33197
0:0:0:0:0:0:0:1 - - [17/May/2021:18:44:35 +0800] "GET /PCA/Css/Public_Color/orange.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2021:18:44:35 +0800] "GET /PCA/img/pet_photo/cat.gif HTTP/1.1" 200 503982
