127.0.0.1 - - [13/May/2021:12:02:14 +0800] "GET / HTTP/1.1" 404 679
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:15 +0800] "GET /PCA/index.jsp HTTP/1.1" 200 4008
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:15 +0800] "GET /PCA/Css/Public_Color/orange.css HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:15 +0800] "GET /PCA/Css/htmleaf-demo.css HTTP/1.1" 200 5839
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:15 +0800] "GET /PCA/img/season/ahead_blue.jpg HTTP/1.1" 200 19539
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:15 +0800] "GET /PCA/Css/Login.css HTTP/1.1" 200 5163
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:15 +0800] "GET /PCA/Css/Public_style.css HTTP/1.1" 200 6910
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:15 +0800] "GET /PCA/Css/verify.css HTTP/1.1" 200 5503
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:15 +0800] "GET /PCA/js/loading.js HTTP/1.1" 200 2025
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:15 +0800] "GET /PCA/js/verify.js HTTP/1.1" 200 30258
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:15 +0800] "GET /PCA/js/verify.min.js HTTP/1.1" 200 19146
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:15 +0800] "GET /PCA/js/jquery-1.11.0.min.js HTTP/1.1" 200 96484
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:15 +0800] "GET /PCA/img/background-photo/login.png HTTP/1.1" 200 3562975
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:15 +0800] "GET /PCA/fonts/iconfont.eot?t=1508229193188 HTTP/1.1" 404 706
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:15 +0800] "GET /PCA/fonts/icomoon.eot? HTTP/1.1" 404 706
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:15 +0800] "GET /PCA/fonts/icomoon.woff?rretjt HTTP/1.1" 404 706
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:15 +0800] "GET /PCA/fonts/icomoon.ttf?rretjt HTTP/1.1" 404 706
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:38 +0800] "GET /PCA/img/pet_photo/fox.gif HTTP/1.1" 200 3475374
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:48 +0800] "GET /PCA/Css/Page_head.css HTTP/1.1" 200 2558
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:48 +0800] "GET /PCA/Css/Homepage.css HTTP/1.1" 200 8460
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:48 +0800] "GET /PCA/img/lead_photo/%E9%80%80%E5%87%BA.png HTTP/1.1" 200 3940
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:48 +0800] "GET /PCA/img/season/ahead_yellow.jpg HTTP/1.1" 200 18896
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:48 +0800] "GET /PCA/img/season/spring.jpg HTTP/1.1" 200 5274
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:48 +0800] "GET /PCA/Adminpages/img/%E5%8F%8D%E9%A6%88.png HTTP/1.1" 200 4665
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:48 +0800] "GET /PCA/img/level_photo/%E7%AD%89%E7%BA%A70.png HTTP/1.1" 200 3391
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:48 +0800] "GET /PCA/img/lead_photo/%E4%B8%BB%E9%A1%B5.png HTTP/1.1" 200 7335
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:48 +0800] "GET /PCA/img/head_photo/ahead.jpg HTTP/1.1" 200 15398
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:48 +0800] "GET /PCA/img/lead_photo/%E6%B6%88%E6%81%AF.png HTTP/1.1" 200 5865
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:48 +0800] "GET /PCA/Adminpages/img/%E7%AE%A1%E7%90%86%E5%91%98.png HTTP/1.1" 200 9519
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:48 +0800] "GET /PCA/img/lead_photo/%E7%A7%AF%E5%88%862.png HTTP/1.1" 200 4829
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:48 +0800] "GET /PCA/img/lead_photo/%E4%BD%9C%E5%93%81.png HTTP/1.1" 200 5838
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:48 +0800] "GET /PCA/img/lead_photo/%E8%AE%BE%E7%BD%AE.png HTTP/1.1" 200 6420
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:48 +0800] "GET /PCA/js/jquery-3.4.1.js HTTP/1.1" 200 273456
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:48 +0800] "GET /PCA/img/lead_photo/%E4%BB%BB%E5%8A%A1.png HTTP/1.1" 200 5811
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:48 +0800] "GET /PCA/img/lead_photo/%E8%B5%84%E6%BA%90.png HTTP/1.1" 200 3227
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:48 +0800] "GET /PCA/img/dynamic_photo/dynamic_illustration/%E7%BD%91%E9%A1%B5.jpg HTTP/1.1" 200 52873
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:48 +0800] "GET /PCA/img/dynamic_photo/dynamic_illustration/%E7%8E%8B%E5%86%A0.jpg HTTP/1.1" 200 46563
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:48 +0800] "GET /PCA/img/example/%E7%82%B9%E8%B5%9E.png HTTP/1.1" 200 6713
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:48 +0800] "GET /PCA/img/dynamic_photo/dynamic_illustration/%E7%BD%91%E9%A1%B52.jpg HTTP/1.1" 200 46641
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:48 +0800] "GET /PCA/img/dynamic_photo/dynamic_illustration/%E5%BC%80%E5%AD%A6.jpg HTTP/1.1" 200 5566
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:48 +0800] "GET /PCA/img/theme_photo/1.png HTTP/1.1" 200 166386
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:55 +0800] "GET /PCA/img/dynamic_photo/%E6%BB%91%E5%8A%A8%E7%99%BB%E5%BD%95%E6%A1%86.png HTTP/1.1" 200 189006
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:55 +0800] "GET /PCA/img/dynamic_photo/dynamic_illustration/%E7%88%86%E7%AB%B9.jpg HTTP/1.1" 200 22790
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:55 +0800] "GET /PCA/img/dynamic_photo/dynamic_illustration/%E7%88%86%E7%AB%B92.jpg HTTP/1.1" 200 28850
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:55 +0800] "GET /PCA/img/apartment_photo/%E5%AE%A3%E4%BC%A0%E9%83%A8.png HTTP/1.1" 200 227449
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:56 +0800] "POST /PCA/Login HTTP/1.1" 200 33197
0:0:0:0:0:0:0:1 - - [13/May/2021:12:02:56 +0800] "GET /PCA/img/pet_photo/cat.gif HTTP/1.1" 200 503982
0:0:0:0:0:0:0:1 - - [13/May/2021:12:03:08 +0800] "GET /PCA/Login HTTP/1.1" 200 4012
0:0:0:0:0:0:0:1 - - [13/May/2021:12:03:08 +0800] "GET /PCA/Css/Public_style.css HTTP/1.1" 200 6910
0:0:0:0:0:0:0:1 - - [13/May/2021:12:03:08 +0800] "GET /PCA/Css/Public_Color/orange.css HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [13/May/2021:12:03:08 +0800] "GET /PCA/Css/Login.css HTTP/1.1" 200 5163
0:0:0:0:0:0:0:1 - - [13/May/2021:12:03:08 +0800] "GET /PCA/Css/htmleaf-demo.css HTTP/1.1" 200 5839
0:0:0:0:0:0:0:1 - - [13/May/2021:12:03:08 +0800] "GET /PCA/Css/verify.css HTTP/1.1" 200 5503
0:0:0:0:0:0:0:1 - - [13/May/2021:12:03:08 +0800] "GET /PCA/img/season/ahead_blue.jpg HTTP/1.1" 200 19539
0:0:0:0:0:0:0:1 - - [13/May/2021:12:03:08 +0800] "GET /PCA/js/loading.js HTTP/1.1" 200 2025
0:0:0:0:0:0:0:1 - - [13/May/2021:12:03:08 +0800] "GET /PCA/js/verify.min.js HTTP/1.1" 200 19146
0:0:0:0:0:0:0:1 - - [13/May/2021:12:03:08 +0800] "GET /PCA/js/verify.js HTTP/1.1" 200 30258
0:0:0:0:0:0:0:1 - - [13/May/2021:12:03:08 +0800] "GET /PCA/js/jquery-1.11.0.min.js HTTP/1.1" 200 96484
0:0:0:0:0:0:0:1 - - [13/May/2021:12:03:08 +0800] "GET /PCA/img/background-photo/login.png HTTP/1.1" 200 3562975
0:0:0:0:0:0:0:1 - - [13/May/2021:12:03:08 +0800] "GET /favicon.ico HTTP/1.1" 404 690
0:0:0:0:0:0:0:1 - - [13/May/2021:12:03:54 +0800] "GET /PCA/Login HTTP/1.1" 200 4012
0:0:0:0:0:0:0:1 - - [13/May/2021:12:03:55 +0800] "GET /PCA/img/background-photo/login.png HTTP/1.1" 200 3562975
0:0:0:0:0:0:0:1 - - [13/May/2021:12:03:58 +0800] "GET /PCA/img/pet_photo/fox.gif HTTP/1.1" 200 3475374
0:0:0:0:0:0:0:1 - - [13/May/2021:12:04:03 +0800] "GET /PCA/Css/Page_head.css HTTP/1.1" 200 2558
0:0:0:0:0:0:0:1 - - [13/May/2021:12:04:03 +0800] "GET /PCA/Css/Homepage.css HTTP/1.1" 200 8460
0:0:0:0:0:0:0:1 - - [13/May/2021:12:04:03 +0800] "GET /PCA/img/season/ahead_yellow.jpg HTTP/1.1" 200 18896
0:0:0:0:0:0:0:1 - - [13/May/2021:12:04:03 +0800] "GET /PCA/img/season/spring.jpg HTTP/1.1" 200 5274
0:0:0:0:0:0:0:1 - - [13/May/2021:12:04:03 +0800] "GET /PCA/Adminpages/img/%E7%AE%A1%E7%90%86%E5%91%98.png HTTP/1.1" 200 9519
0:0:0:0:0:0:0:1 - - [13/May/2021:12:04:03 +0800] "GET /PCA/Adminpages/img/%E5%8F%8D%E9%A6%88.png HTTP/1.1" 200 4665
0:0:0:0:0:0:0:1 - - [13/May/2021:12:04:03 +0800] "GET /PCA/img/level_photo/%E7%AD%89%E7%BA%A70.png HTTP/1.1" 200 3391
