127.0.0.1 - - [01/Feb/2021:19:40:29 +0800] "GET / HTTP/1.1" 404 679
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:40:31 +0800] "GET /PCA/index.jsp HTTP/1.1" 200 2653
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:40:42 +0800] "GET /PCA/Css/Homepage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:40:42 +0800] "POST /PCA/Login HTTP/1.1" 200 29035
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:45:46 +0800] "GET /PCA/dynamic_details.jsp?detaili=1 HTTP/1.1" 200 4719
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:45:48 +0800] "GET /PCA/Css/Message.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:45:48 +0800] "GET /PCA/Css/Public_Color/orange.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:45:48 +0800] "GET /PCA/Css/Public_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:45:48 +0800] "GET /PCA/Css/Homepage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:45:48 +0800] "GET /PCA/Css/Page_head.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:45:48 +0800] "GET /PCA/img/season/ahead_yellow.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:45:48 +0800] "GET /PCA/img/season/winter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:45:48 +0800] "GET /PCA/img/head_photo/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:45:48 +0800] "GET /PCA/img/dynamic_photo/%E6%BB%91%E5%8A%A8%E7%99%BB%E5%BD%95%E6%A1%86.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:45:48 +0800] "GET /PCA/img/example/%E7%82%B9%E8%B5%9E.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:45:48 +0800] "GET /PCA/img/example/%E6%94%B6%E8%97%8F.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:46:26 +0800] "GET /PCA/dynamic_details.jsp?detaili=1 HTTP/1.1" 200 4658
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:46:26 +0800] "GET /PCA/Css/Message.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:46:26 +0800] "GET /PCA/Css/Public_Color/orange.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:46:26 +0800] "GET /PCA/Css/Public_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:46:26 +0800] "GET /PCA/Css/Homepage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:46:26 +0800] "GET /PCA/Css/Page_head.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:46:26 +0800] "GET /PCA/img/season/ahead_yellow.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:46:26 +0800] "GET /PCA/img/season/winter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:46:26 +0800] "GET /PCA/img/head_photo/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:46:26 +0800] "GET /PCA/img/dynamic_photo/%E6%BB%91%E5%8A%A8%E7%99%BB%E5%BD%95%E6%A1%86.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:46:26 +0800] "GET /PCA/img/example/%E7%82%B9%E8%B5%9E.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:46:26 +0800] "GET /PCA/img/example/%E6%94%B6%E8%97%8F.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:47:35 +0800] "GET /PCA/img/theme_photo/null.png HTTP/1.1" 404 719
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:47:35 +0800] "GET /PCA/img/head_photo/null.jpg HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:47:35 +0800] "GET /PCA/Homepage.jsp HTTP/1.1" 200 29072
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:47:35 +0800] "GET /PCA/img/apartment_photo/.png HTTP/1.1" 404 719
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:47:38 +0800] "GET /PCA/dynamic_details.jsp?detaili=2 HTTP/1.1" 200 3889
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:47:45 +0800] "GET /PCA/img/head_photo/null.jpg HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:47:45 +0800] "GET /PCA/img/theme_photo/null.png HTTP/1.1" 404 719
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:47:46 +0800] "GET /PCA/Homepage.jsp HTTP/1.1" 200 29074
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:47:46 +0800] "GET /PCA/img/apartment_photo/.png HTTP/1.1" 404 719
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:48:37 +0800] "GET /PCA/img/head_photo/null.jpg HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:48:37 +0800] "GET /PCA/img/apartment_photo/.png HTTP/1.1" 404 719
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:48:37 +0800] "GET /PCA/img/theme_photo/null.png HTTP/1.1" 404 719
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:49:23 +0800] "GET /PCA/dynamic_details.jsp?detaili=1 HTTP/1.1" 200 4636
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:49:32 +0800] "GET /PCA/dynamic_details.jsp?detaili=2 HTTP/1.1" 200 3866
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:50:36 +0800] "GET /PCA/dynamic_details.jsp?detaili=3 HTTP/1.1" 200 3717
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:51:29 +0800] "GET /PCA/dynamic_details.jsp?detaili=3 HTTP/1.1" 200 3720
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:51:29 +0800] "GET /PCA/Css/Message.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:51:29 +0800] "GET /PCA/Css/Public_Color/orange.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:51:29 +0800] "GET /PCA/Css/Public_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:51:29 +0800] "GET /PCA/Css/Homepage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:51:29 +0800] "GET /PCA/Css/Page_head.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:51:29 +0800] "GET /PCA/img/season/ahead_yellow.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:51:29 +0800] "GET /PCA/img/season/winter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:19:51:29 +0800] "GET /PCA/img/head_photo/3.jpg HTTP/1.1" 304 -
