0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:19 +0800] "GET /PCA/img/dynamic_photo/dynamic_illustration/%E7%BD%91%E9%A1%B5.jpg HTTP/1.1" 200 52873
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:19 +0800] "GET /PCA/img/dynamic_photo/dynamic_illustration/%E7%BD%91%E9%A1%B52.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:19 +0800] "GET /PCA/img/theme_photo/1.png HTTP/1.1" 200 166386
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:19 +0800] "GET /PCA/img/dynamic_photo/dynamic_illustration/%E7%88%86%E7%AB%B9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:19 +0800] "GET /PCA/img/dynamic_photo/%E6%BB%91%E5%8A%A8%E7%99%BB%E5%BD%95%E6%A1%86.png HTTP/1.1" 200 189006
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:19 +0800] "GET /PCA/img/dynamic_photo/dynamic_illustration/%E7%88%86%E7%AB%B92.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:19 +0800] "GET /PCA/js/jquery-3.4.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:19 +0800] "GET /PCA/Css/Public_Color/orange.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:19 +0800] "GET /PCA/img/apartment_photo/%E5%AE%A3%E4%BC%A0%E9%83%A8.png HTTP/1.1" 200 227449
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:20 +0800] "POST /PCA/Login HTTP/1.1" 200 33129
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:20 +0800] "GET /PCA/Css/Public_Color/orange.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:20 +0800] "GET /PCA/js/jquery-3.4.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:20 +0800] "GET /PCA/img/pet_photo/cat.gif HTTP/1.1" 200 503982
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:20 +0800] "GET /PCA/js/loading.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:22 +0800] "GET /PCA/img/pet_photo/fox.gif HTTP/1.1" 200 3475374
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:24 +0800] "POST /PCA/lead?page=4 HTTP/1.1" 200 14431
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:24 +0800] "GET /PCA/Css/Message.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:24 +0800] "GET /PCA/Css/Public_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:24 +0800] "GET /PCA/Css/Page_head.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:24 +0800] "GET /PCA/Css/Public_color/orange.css HTTP/1.1" 404 722
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:24 +0800] "GET /PCA/Css/Public_Color/orange.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:24 +0800] "GET /PCA/img/season/ahead_yellow.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:24 +0800] "GET /PCA/img/season/spring.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2021:19:01:24 +0800] "GET /PCA/img/lead_photo/%E9%80%80%E5%87%BA.png HTTP/1.1" 304 -
